"id","action","user","variable_name","date","time"
"9930ca","QuestionEnabled","","PLOT_decision","",""
"9930ca","QuestionEnabled","","PLOT_decision","",""
"9930ca","QuestionEnabled","","PLOT_decision_hh","",""
"9930ca","QuestionEnabled","","PLOT_decision_hh","",""
"9930ca","QuestionEnabled","","PLOT_finance","",""
"9930ca","QuestionEnabled","","PLOT_finance","",""
"9930ca","QuestionEnabled","","PLOT_finance_hh","",""
"9930ca","QuestionEnabled","","PLOT_finance_hh","",""
"9930ca","QuestionEnabled","","CROP_code","",""
"9930ca","QuestionEnabled","","CROP_code","",""
"9930ca","QuestionEnabled","","CROP_decisionsell","",""
"9930ca","QuestionEnabled","","CROP_decisionsell","",""
"9930ca","QuestionEnabled","","CROP_decisionsell_hh","",""
"9930ca","QuestionEnabled","","CROP_decisionsell_hh","",""
"9930ca","QuestionEnabled","","CROP_sell","",""
"9930ca","QuestionEnabled","","CROP_sell","",""
"9930ca","QuestionEnabled","","CROP_decisionearn","",""
"9930ca","QuestionEnabled","","CROP_decisionearn_hh","",""
"9930ca","QuestionEnabled","","CROP_consume_amount","",""
"9930ca","QuestionEnabled","","CROP_consume_amount","",""
"9930ca","QuestionDisabled","","HH_holder","",""
"9930ca","QuestionDisabled","","HH_holder","",""
"9930ca","QuestionDisabled","","HH_holder","",""
"9930ca","QuestionDisabled","","HH_holder","",""
"9930ca","QuestionDisabled","","HH_holder","",""
"9930ca","QuestionDisabled","","HH_holder","",""
"9930ca","QuestionDisabled","","HH_holder","",""
"9930ca","QuestionDisabled","","HH_ed_other","",""
"9930ca","QuestionDisabled","","HH_ed_other","",""
"9930ca","QuestionDisabled","","HH_ed_other","",""
"9930ca","QuestionDisabled","","HH_ed_other","",""
"9930ca","QuestionDisabled","","HH_ed_other","",""
"9930ca","QuestionDisabled","","HH_ed_other","",""
"9930ca","QuestionDisabled","","HH_ed_other","",""
"9930ca","QuestionDisabled","","HH_marital","",""
"9930ca","QuestionDisabled","","HH_marital","",""
"9930ca","QuestionDisabled","","HH_marital","",""
